Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 08/13  23:00:00,71353768.1179892,71353768.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/13  24:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/14  01:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/14  02:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/14  03:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/14  04:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/14  05:00:00,80258429.8383602,80258429.8383602,4597200.,15830927.3450227,44533202.0018108 
 08/14  06:00:00,138116496.814273,138116496.814273,4597200.,13465152.1380651,55180531.8783121 
 08/14  07:00:00,251353327.917829,251353327.917829,4597200.,35667039.8816585,95796493.4167736 
 08/14  08:00:00,381122604.930556,381122604.930556,4597200.,98749844.588586,204227663.759169 
 08/14  09:00:00,346303559.200398,346303559.200398,4597200.,97036964.7082227,174055806.616312 
 08/14  10:00:00,339664591.641062,339664591.641062,4597200.,96660690.5880898,167093070.352576 
 08/14  11:00:00,351638787.003147,351638787.003147,4597200.,96660690.5880898,174055806.616312 
 08/14  12:00:00,360522524.421573,360522524.421574,7565652.49829775,96660690.5880898,177667514.306075 
 08/14  13:00:00,367245442.822565,367245442.822565,14898483.6094062,96660690.5880898,179858086.836092 
 08/14  14:00:00,353904017.337144,353904017.337144,13127972.4176314,96660690.5880898,167093070.352576 
 08/14  15:00:00,355524202.197868,355524202.197869,13007409.6292489,96660690.5880898,167093070.352576 
 08/14  16:00:00,370163058.73421,370163058.73421,13214611.1820047,96660690.5880898,177537174.74818 
 08/14  17:00:00,285087848.187756,285087848.187756,8742940.01705766,53825816.5945689,140923939.573165 
 08/14  18:00:00,174683019.212128,174683019.212128,8694436.69515094,33378606.1479687,69106004.4057846 
 08/14  19:00:00,165689634.520664,165689634.520664,4597200.,38644515.6043708,59822356.0541363 
 08/14  20:00:00,184954060.80325,184954060.80325,4597200.,27302827.8427063,59822356.0541363 
 08/14  21:00:00,185904934.351102,185904934.351102,4597200.,27302827.8427063,55180531.8783121 
 08/14  22:00:00,99285849.1003389,99285849.1003388,4597200.,13651413.9213531,55180531.8783121 
 08/14  23:00:00,92454692.4766817,92454692.4766817,4597200.,6825706.96067657,55180531.8783121 
 08/14  24:00:00,72339865.2674801,72339865.26748,4597200.,7915463.67251137,44533202.0018108 
 08/15  01:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/15  02:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/15  03:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/15  04:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/15  05:00:00,80258429.8383602,80258429.8383602,4597200.,15830927.3450227,44533202.0018108 
 08/15  06:00:00,137568677.421343,137568677.421343,4597200.,13426488.2227653,55180531.8783121 
 08/15  07:00:00,251637366.68124,251637366.68124,4597200.,34667843.6609044,95796493.4167736 
 08/15  08:00:00,383302130.024725,383302130.024725,4597200.,98990287.3804856,204227663.759169 
 08/15  09:00:00,347056707.091966,347056707.091966,4597200.,98586205.5453962,174055806.616312 
 08/15  10:00:00,337751018.970684,337751018.970684,4597200.,96945894.1811727,167093070.352576 
 08/15  11:00:00,348639793.829213,348639793.829213,17581518.9179112,96660690.5880898,174055806.616312 
 08/15  12:00:00,364571623.267293,364571623.267293,17955785.1373085,96660690.5880898,177667514.306075 
 08/15  13:00:00,362378283.202424,362378283.202424,17877042.8295472,96660690.5880898,179858086.836092 
 08/15  14:00:00,350257609.95091,350257609.95091,8829751.10053236,96660690.5880898,167093070.352576 
 08/15  15:00:00,353600392.570464,353600392.570464,13012225.753645,96660690.5880898,167093070.352576 
 08/15  16:00:00,365645929.047852,365645929.047852,13216029.6471482,96773580.2291569,177537174.74818 
 08/15  17:00:00,287542424.287202,287542424.287202,8755157.30652783,54436594.5358826,140923939.573165 
 08/15  18:00:00,173536782.923205,173536782.923205,8696806.3222807,33604839.9177067,69106004.4057846 
 08/15  19:00:00,176166785.341389,176166785.341389,4597200.,38783459.6385346,59822356.0541363 
 08/15  20:00:00,193317155.344871,193317155.344871,8663049.49365716,27302827.8427063,59822356.0541363 
 08/15  21:00:00,196144698.620671,196144698.620671,4597200.,27302827.8427063,55180531.8783121 
 08/15  22:00:00,99285849.1003389,99285849.1003388,4597200.,13651413.9213531,55180531.8783121 
 08/15  23:00:00,92454692.4766817,92454692.4766817,4597200.,6825706.96067657,55180531.8783121 
 08/15  24:00:00,72339865.2674801,72339865.26748,4597200.,7915463.67251137,44533202.0018108 
 08/16  01:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/16  02:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/16  03:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/16  04:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/16  05:00:00,80258429.8383602,80258429.8383602,4597200.,15830927.3450227,44533202.0018108 
 08/16  06:00:00,141019760.027694,141019760.027694,4597200.,13628425.3763648,55180531.8783121 
 08/16  07:00:00,269086096.170087,269086096.170087,4597200.,38091596.3750799,95796493.4167736 
 08/16  08:00:00,391096238.811012,391096238.811012,4597200.,101530412.04635,204227663.759169 
 08/16  09:00:00,348265787.502736,348265787.502736,4597200.,97177654.659219,174055806.616312 
 08/16  10:00:00,341597225.535775,341597225.535775,4597200.,96660690.5880898,167093070.352576 
 08/16  11:00:00,352322340.223985,352322340.223986,13274827.5859034,96660690.5880898,174055806.616312 
 08/16  12:00:00,360996100.65172,360996100.65172,17904195.4335093,96660690.5880898,177667514.306075 
 08/16  13:00:00,365006164.110771,365006164.110771,17891461.8496359,96660690.5880898,179858086.836092 
 08/16  14:00:00,353041496.732094,353041496.732094,13126355.5027566,96660690.5880898,167093070.352576 
 08/16  15:00:00,353360531.054669,353360531.054669,8801687.94904585,96660690.5880898,167093070.352576 
 08/16  16:00:00,364926644.476341,364926644.476341,13169326.0182227,96698320.4684455,177537174.74818 
 08/16  17:00:00,284936767.621202,284936767.621202,13020582.6821075,53951249.529088,140923939.573165 
 08/16  18:00:00,174426744.715194,174426744.715194,4597200.,33212571.5116448,69106004.4057846 
 08/16  19:00:00,177928435.955088,177928435.955088,8642403.95298841,39284802.8904895,59822356.0541363 
 08/16  20:00:00,192954263.046784,192954263.046784,4597200.,27302827.8427063,59822356.0541363 
 08/16  21:00:00,195380183.098896,195380183.098897,4597200.,27302827.8427063,55180531.8783121 
 08/16  22:00:00,99285849.1003389,99285849.1003388,4597200.,13651413.9213531,55180531.8783121 
 08/16  23:00:00,92454692.4766817,92454692.4766817,4597200.,6825706.96067657,55180531.8783121 
 08/16  24:00:00,72339865.2674801,72339865.26748,4597200.,7915463.67251137,44533202.0018108 
